entry_time,exit_time,direction,entry,exit,sl,tp,lot,entry_rsi,entry_atr,spread,exit_reason,gross_pnl,commission,net_pnl,balance,session_hour,trading_day
2024-01-23 15:59:00+05:30,2024-01-23 16:02:00+05:30,BUY,2029.05,2031.3375653216922,2026.7624346783077,2031.3375653216922,5.0,32.984470556779364,1.1437826608461465,0.19,TP,11.437826608461137,0.0,11.437826608461137,25011.43782660846,15,2024-01-23
2024-03-27 20:24:00+05:30,2024-03-27 20:34:00+05:30,BUY,2188.64,2186.4758434266464,2186.4758434266464,2190.8041565733533,5.0,24.25939615347822,1.0820782866766994,0.11,SL,-10.820782866767331,0.0,-10.820782866767331,25000.617043741695,20,2024-03-27
2024-04-23 16:55:00+05:30,2024-04-23 16:57:00+05:30,SELL,2307.74,2309.8151160430743,2309.8151160430743,2305.664883956925,5.0,66.58175357906582,1.0375580215371842,0.13,SL,-10.375580215372793,0.0,-10.375580215372793,24990.241463526323,16,2024-04-23
2024-11-12 19:19:00+05:30,2024-11-12 19:48:00+05:30,SELL,2597.43,2594.8657818365264,2599.9942181634733,2594.8657818365264,5.0,68.99818233123293,1.282109081736834,0.15,TP,12.821090817367349,0.0,12.821090817367349,25003.06255434369,19,2024-11-12
2024-11-14 16:08:00+05:30,2024-11-14 16:13:00+05:30,SELL,2558.51,2556.513008521492,2560.5069914785086,2556.513008521492,5.0,70.1559680266653,0.9984957392541406,0.14,TP,9.984957392541673,0.0,9.984957392541673,25013.047511736233,16,2024-11-14
2025-03-04 18:36:00+05:30,2025-03-04 18:38:00+05:30,BUY,2914.37,2916.701934446924,2912.0380655530757,2916.701934446924,5.0,31.292986308610388,1.165967223462028,0.1,TP,11.659672234620757,0.0,11.659672234620757,25024.707183970855,18,2025-03-04
2025-03-06 19:09:00+05:30,2025-03-06 19:25:00+05:30,SELL,2903.27,2901.0844995661755,2905.4555004338245,2901.0844995661755,5.0,72.59927705018944,1.0927502169122998,0.14,TP,10.927502169122363,0.0,10.927502169122363,25035.634686139976,19,2025-03-06
2025-03-10 20:28:00+05:30,2025-03-10 20:37:00+05:30,SELL,2903.88,2906.327186967674,2906.327186967674,2901.432813032326,5.0,69.3601458982305,1.223593483836984,0.13,SL,-12.235934838370213,0.0,-12.235934838370213,25023.398751301607,20,2025-03-10
2025-03-18 18:04:00+05:30,2025-03-18 18:24:00+05:30,BUY,3021.1,3018.8142131845275,3018.8142131845275,3023.3857868154723,5.0,30.572016461834824,1.1428934077361905,0.08,SL,-11.4289340773621,0.0,-11.4289340773621,25011.969817224246,18,2025-03-18
2025-03-27 13:21:00+05:30,2025-03-27 13:31:00+05:30,BUY,3032.63,3034.6624357688343,3030.597564231166,3034.6624357688343,5.0,31.076345223685298,1.016217884417014,0.1,TP,10.16217884417074,0.0,10.16217884417074,25022.131996068416,13,2025-03-27
2025-03-28 16:22:00+05:30,2025-03-28 16:36:00+05:30,BUY,3079.22,3076.955623936606,3076.955623936606,3081.4843760633935,5.0,31.503689927982407,1.1321880316969248,0.08,SL,-11.321880316968418,0.0,-11.321880316968418,25010.810115751447,16,2025-03-28
2025-04-03 16:29:00+05:30,2025-04-03 17:18:00+05:30,SELL,3129.28,3126.075596766066,3132.4844032339342,3126.075596766066,5.0,68.40580009707121,1.6022016169670568,0.08,TP,16.022016169670223,0.0,16.022016169670223,25026.832131921117,16,2025-04-03
2025-04-09 18:47:00+05:30,2025-04-09 18:49:00+05:30,BUY,3042.41,3038.90333518045,3038.90333518045,3045.9166648195496,5.0,33.86515236930669,1.7533324097749674,0.08,SL,-17.533324097748846,0.0,-17.533324097748846,25009.29880782337,18,2025-04-09
2025-04-10 14:15:00+05:30,2025-04-10 14:24:00+05:30,BUY,3115.75,3120.0571242764763,3111.4428757235237,3120.0571242764763,5.0,24.934321550716792,2.1535621382382453,0.08,TP,21.535621382381578,0.0,21.535621382381578,25030.83442920575,14,2025-04-10
2025-04-21 12:48:00+05:30,2025-04-21 12:55:00+05:30,BUY,3372.07,3375.7863612123087,3368.3536387876916,3375.7863612123087,5.0,25.72775426587984,1.8581806061543646,0.1,TP,18.58180606154292,0.0,18.58180606154292,25049.416235267294,12,2025-04-21
2025-04-21 16:17:00+05:30,2025-04-21 16:19:00+05:30,BUY,3389.56,3386.6325858000328,3386.6325858000328,3392.487414199967,5.0,32.385345602856695,1.463707099983574,0.08,SL,-14.637070999835942,0.0,-14.637070999835942,25034.779164267457,16,2025-04-21
2025-04-30 13:24:00+05:30,2025-04-30 13:36:00+05:30,SELL,3307.81,3310.311031133667,3310.311031133667,3305.308968866333,5.0,68.25683556106223,1.2505155668333228,0.1,SL,-12.505155668334282,0.0,-12.505155668334282,25022.27400859912,13,2025-04-30
